sha256_hash,file_type,first_seen,tags
a88edeb377205df24d69e4215b7d48f251231fdca07763cb498b9b0107629eca,exe,2020-02-27 21:33:11,njrat
c0cd9c51c4fc4f7805d5d2e5e08e3701c2214ab9ee25a239b2ab3c7af0c8e797,exe,2020-02-25 13:16:13,quasarrat
18c601f2c857a8fc639396cc131bde47b16c0bca95ea7f2ca78f7020adc77b8b,exe,2020-02-28 04:35:11,njrat
c2a4efd5f9ba6f03612eb6e8a324a6721ee84166e50a539f789b3fb6ba9e8399,dll,2020-02-27 13:23:59,sodinokibi
5515739bd8752264b7ee2a2c9b957d36af9fb16b19d7dd1aef4139f2fe74af47,exe,2020-02-28 06:43:45,asyncrat
a86751d7ee905499b6e324dc5175e287a20d34cde78cbe35a290523dea9d1cd0,exe,2020-02-28 06:28:24,asyncrat
def7ecf8aa63604355204120f9c28e669b33268e3440e689b7e9beaaf7e7e7ef,exe,2020-02-27 14:33:11,njrat
c40dfd58e6da0aade75d09b6a659cf165f072ba89aef2d60c10c153793535ee7,dll,2020-02-27 15:19:20,sodinokibi
60197bde238231c68c111119345b65d414bd24c7910eb5b1f3af62a0e227fad7,exe,2020-02-27 19:52:34,revengerat
3c426a3c33438d9be6cf941a98906dd3992348e8c0288172cb161d495a774bba,exe,2020-02-27 22:41:14,njrat
c35e3bdf0d1a7275e73f3c8c9fb57cf874ffa19ffafae649025b1e90cd07c096,exe,2020-02-28 01:13:26,revengerat
a52ed7cc857c5a48246c336bd22ac226100a005a8fa1306debe166af6018090d,exe,2020-02-27 16:32:34,asyncrat
a53732f6b49c8d9b99b7bdad38c3255f7ea944e14b86c8f674dd3187c74e808e,exe,2020-02-27 14:28:19,quasar QuasarRAT
96bf799fbafcbc9e851fe8d3b10b292c4eabe9bfc9d208e99974b1b55d335c63,exe,2020-02-27 14:50:45,njrat
9ab608b32b25b2412a3ceb6de646beb37242434ee1c7cc8cc779db02e17f497f,exe,2020-02-28 01:29:06,njrat
fc5850691ea4a7b14caf53c5cd989fe6c04f7eb3d0e64ad39e184421234dcf77,exe,2020-02-27 22:36:46,njrat
6afb6a18a4fce6423e0518c40eee187214cf81428c350347c52eb3b9f0c82b17,exe,2020-02-28 03:32:02,asyncrat
b48799d2eee65351dde0cf00b8beb57ab15da799384c1b546c358f18d412a6db,exe,2020-02-27 23:14:54,njrat
6f6d4f3090669a12b7870d959302181d721436520374a4115e6c7bcfbc21cfef,dll,2020-02-27 14:58:53,sodinokibi
5f660bdf5435c4fb1ad9f4aafbb7b38def8ca93dfed281e9b029d4d036e6946d,exe,2020-02-28 05:04:13,njrat
f99723f1961f7ba1ea05a528a60558df653fac5a4046cfa70865419548e51fc8,dll,2020-02-27 20:08:56,sodinokibi
23d7cd4b0535b40662dc211b4ae28c4b5383c66b4b686064bd391a259da80d48,dll,2020-02-27 17:29:03,sodinokibi
920872696e5911393610e0f5967c530a197c2ec43fa1f0ad30792712e8f3f019,exe,2020-02-27 18:12:17,njrat
634a5e24eda00b716c30b8c463f811a3d0d413a8e0e1e02b1bb2518be225ddcd,exe,2020-02-27 18:47:29,njrat
a724b9208eec5030d377368203ee2ffb7673f3c7178f9db0f74fd15d18bf3f64,exe,2020-02-28 04:25:09,njrat
a585796634217ff4ab444ea95d43a01a1aa4b3a280b41eaea0e42223e491efae,exe,2020-02-25 11:47:56,njrat
ac659ed79aac7c38c6e249ad9c92feaafb77dbcd35ab1ccbb47691fe96030516,dll,2020-02-27 15:16:33,sodinokibi
86c8896067480a260f931692b6f2223d603415a0708e8d16cc5ead90f9b22ba3,exe,2020-02-28 04:34:11,nanocore
7af6be720f63c86de10443745e332a5717aa9b14fa3e8ecca584ef370f2080da,exe,2020-02-28 05:52:29,revengerat
ad01160476ded3d8dec827042e6627e5b2a50a4bcf47b37fe892b957de4e149c,exe,2020-02-27 20:46:37,njrat
4c42f6a7027df50fff5e175148e29c9fdcde33a77cde36eee1dd8aa121f1fec3,exe,2020-02-28 05:06:09,njrat
39ec963bdfd683141a24c10435e4a6104375f5c1f61af2053b017ee55b84d1c1,exe,2020-02-27 16:22:15,remcos RemcosRAT
6ef0658079cebc519cd469248cd6ff40dfec559c07249603a826d8cfaba263e2,exe,2020-02-27 20:48:43,njrat
579664b49a5ef76626175ada92546a40f63ae977ece60b2f8649b6eac24ca290,exe,2020-02-28 04:25:19,njrat
8c55958dc4f421350c0b0c5ac16004238f4d0957a7fba86832f7da76788a4804,dll,2020-02-25 20:35:33,sodinokibi
530d2f0345b4e64d7a15fce3c91ddd6f8b6122dc66fbf479bf20368d933c40c6,exe,2020-02-27 15:12:26,njrat
c8b2eec7a0e0086728ac0d69f6f2e3749f5ef31d970d910e0f77639475006dcd,exe,2020-02-28 08:13:41,njrat
491eec6f62e89b017a00c2dccf51864afd6debf003a5e83d4081499a293d7221,exe,2020-02-27 15:58:40,njrat
7e55fd01c96f84a79956e90c1ab551cc636043c989902b32dcc0c60c97720ab0,exe,2020-02-27 17:08:15,njrat
7c7f23a33db8b6dc22b0b8897bef020ce74670bcb8723f9bc8e6b15f280408cc,exe,2020-02-28 08:18:59,njrat
0760806d2cb04dfa58902d85e3503e313805e8056565097cf18d4d24249679d3,exe,2020-02-27 16:05:18,revengerat
971e4b2879189d8d1f19a1d5874dd6f571651aa02ed7cf7d97f2c0b43fa6b6c2,exe,2020-02-27 16:17:24,njrat
26f7e1788c2656cd64e69ac68873acfdd0160ff6ed07880720c4a52f5d52bc10,exe,2020-02-27 13:31:12,njrat
9a357f09b76c7c511920154450c9b4a889095f65000e65f6bb6f99748a67a805,exe,2020-02-28 08:09:57,njrat
c35f35a9e54f35375bc2f72842d038c4121a5cc6314ac7cbabca6a8dc463cfcd,dll,2020-02-27 19:37:49,sodinokibi
ef5c8a793083695a015f7c29543bdd61275d9139f4071064cd18524e0f55ea02,exe,2020-02-27 18:25:04,njrat
2d373452dedac769b8f2ef99985f0c1fd21f4a5d45f45b9e301196da80223ec4,exe,2020-02-28 04:32:57,njrat
291bf31470c9bcacec467c980adb7a3d111ebb6b72cf07147884a7eae5cabde9,exe,2020-02-27 14:27:45,revengerat
90a3ee4bb184d38630de9018450ed6be6fdeb2e6b562ccd04fc88f0ad0c865f4,exe,2020-02-27 16:41:44,njrat
5bfb1237443e270d7297a9bb2d4cc44cbc4f3ad0f71db00012a4cc0ae461e6d2,dll,2020-02-28 08:16:02,sodinokibi
78ddd7ee459b76b72c74a996678b97f3c215f5627dde3d49afed389867d853f7,exe,2020-02-26 03:39:20,quasarrat
a653e4c1521fd408b227bc19b177c072dc2a094416818638df26a0237054fe7c,exe,2020-02-27 15:13:54,njrat
0eb3ab9e4c6bc5903674d8f9b36a1a59825fa4e1c2d7209be4d7a0c16dc6168f,exe,2020-02-27 15:03:08,njrat
d8c2b06570a0c86994d2ddf5b0e98d69365d9541ff262a03f4c1271d2def4cff,exe,2020-02-28 02:39:11,nanocore
4e351fed9605d912eb226a3925148012201c99875f38a12c6d95c7fdbf5f5e3e,exe,2020-02-27 16:40:24,njrat
