name,url
Certcli.h,https://learn.microsoft.com/en-us/windows/win32/api/certcli/
Certenc.h,https://learn.microsoft.com/en-us/windows/win32/api/certenc/
Certenroll.h,https://learn.microsoft.com/en-us/windows/win32/api/certenroll/
Certexit.h,https://learn.microsoft.com/en-us/windows/win32/api/certexit/
Certif.h,https://learn.microsoft.com/en-us/windows/win32/api/certif/
Certmod.h,https://learn.microsoft.com/en-us/windows/win32/api/certmod/
Certpol.h,https://learn.microsoft.com/en-us/windows/win32/api/certpol/
Certpoleng.h,https://learn.microsoft.com/en-us/windows/win32/api/certpoleng/
Certsrv.h,https://learn.microsoft.com/en-us/windows/win32/api/certsrv/
Certview.h,https://learn.microsoft.com/en-us/windows/win32/api/certview/
Cfapi.h,https://learn.microsoft.com/en-us/windows/win32/api/cfapi/
Cfg.h,https://learn.microsoft.com/en-us/windows/win32/api/cfg/
Cfgmgr32.h,https://learn.microsoft.com/en-us/windows/win32/api/cfgmgr32/
Chptrarr.h,https://learn.microsoft.com/en-us/windows/win32/api/chptrarr/
Chstrarr.h,https://learn.microsoft.com/en-us/windows/win32/api/chstrarr/
Chstring.h,https://learn.microsoft.com/en-us/windows/win32/api/chstring/
Cimfs.h,https://learn.microsoft.com/en-us/windows/win32/api/cimfs/
Clfs.h,https://learn.microsoft.com/en-us/windows/win32/api/clfs/
Clfsmgmt.h,https://learn.microsoft.com/en-us/windows/win32/api/clfsmgmt/
Clfsmgmtw32.h,https://learn.microsoft.com/en-us/windows/win32/api/clfsmgmtw32/
Clfsw32.h,https://learn.microsoft.com/en-us/windows/win32/api/clfsw32/
Cloneviewhelper.h,https://learn.microsoft.com/en-us/windows/win32/api/cloneviewhelper/
Cluadmex.h,https://learn.microsoft.com/en-us/windows/win32/api/cluadmex/
Clusapi.h,https://learn.microsoft.com/en-us/windows/win32/api/clusapi/
Cmdtree.h,https://learn.microsoft.com/en-us/windows/win32/api/cmdtree/
Cmnquery.h,https://learn.microsoft.com/en-us/windows/win32/api/cmnquery/
Codecapi.h,https://learn.microsoft.com/en-us/windows/win32/api/codecapi/
Comadmin.h,https://learn.microsoft.com/en-us/windows/win32/api/comadmin/
Combaseapi.h,https://learn.microsoft.com/en-us/windows/win32/api/combaseapi/
Comcat.h,https://learn.microsoft.com/en-us/windows/win32/api/comcat/
Coml2api.h,https://learn.microsoft.com/en-us/windows/win32/api/coml2api/
Commctrl.h,https://learn.microsoft.com/en-us/windows/win32/api/commctrl/
Commdlg.h,https://learn.microsoft.com/en-us/windows/win32/api/commdlg/
Commoncontrols.h,https://learn.microsoft.com/en-us/windows/win32/api/commoncontrols/
Comppkgsup.h,https://learn.microsoft.com/en-us/windows/win32/api/comppkgsup/
Compressapi.h,https://learn.microsoft.com/en-us/windows/win32/api/compressapi/
